id,region,bbox,capture_date,cached_path,live_url,fetched_at,provider
TILE-SINGAPORE,Singapore,"101.2500,0.0000,106.8750,5.6160",2026-09-07,/cache/tiles/singapore-2026-09-07-2ec8fdd969.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/31/50.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-KLANG-VALLEY,Klang Valley,"101.2500,0.0000,106.8750,5.6160",2026-09-07,/cache/tiles/klang-valley-2026-09-07-2ec8fdd969.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/31/50.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-PENANG,Penang,"95.6250,0.0000,101.2500,5.6160",2026-09-07,/cache/tiles/penang-2026-09-07-40b512cea6.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/31/49.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-JOHOR-BAHRU,Johor Bahru,"101.2500,0.0000,106.8750,5.6160",2026-09-07,/cache/tiles/johor-bahru-2026-09-07-2ec8fdd969.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/31/50.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-KOTA-KINABALU,Kota Kinabalu,"112.5000,5.6160,118.1250,11.1784",2026-09-07,/cache/tiles/kota-kinabalu-2026-09-07-be245d6418.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/30/52.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-JAKARTA,Jakarta and BSD,"101.2500,-11.1784,106.8750,-5.6160",2026-09-07,/cache/tiles/jakarta-2026-09-07-064fa49cf3.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/33/50.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-SEMARANG,Semarang,"106.8750,-11.1784,112.5000,-5.6160",2026-09-07,/cache/tiles/semarang-2026-09-07-10f9baed2d.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/33/51.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-SURABAYA,Surabaya,"112.5000,-11.1784,118.1250,-5.6160",2026-09-07,/cache/tiles/surabaya-2026-09-07-d576bd7def.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/33/52.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-SHANGHAI,Shanghai and Ningbo,"118.1250,27.0591,123.7500,31.9522",2026-09-07,/cache/tiles/shanghai-2026-09-07-23a579adbb.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/26/53.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-PEARL-RIVER-DELTA,Guangzhou and Shenzhen,"112.5000,21.9430,118.1250,27.0591",2026-09-07,/cache/tiles/pearl-river-delta-2026-09-07-56cb9f4747.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/27/52.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-XIAMEN,Xiamen,"112.5000,21.9430,118.1250,27.0591",2026-09-07,/cache/tiles/xiamen-2026-09-07-56cb9f4747.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/27/52.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
TILE-HONG-KONG,Hong Kong,"112.5000,21.9430,118.1250,27.0591",2026-09-07,/cache/tiles/hong-kong-2026-09-07-56cb9f4747.jpg,https://gibs.earthdata.nasa.gov/wmts/epsg3857/best/MODIS_Terra_CorrectedReflectance_TrueColor/default/2026-09-07/GoogleMapsCompatible_Level9/6/27/52.jpg,2026-09-08T05:09:48+00:00,NASA GIBS
