id,address_line,cluster_name,country,lat,lon,building_type,occupancy_class,appraised_value_sgd,floor_level,elevation_m,dist_to_coast_km,adaptation_project_id
SG-MS-001,"361 Marina Way, Marina South, Singapore",Marina Bay / Marina South,SG,1.270461,103.867888,residential_highrise_rc,rc_highrise,2010000,8,4.0,0.73,sg-marina-barrage
SG-MS-002,"8 Marina View, Marina South, Singapore",Marina Bay / Marina South,SG,1.2751,103.8602,residential_highrise_rc,rc_highrise,1800000,12,0.6,0.35,
SG-MS-003,"10 Marina View, Marina South, Singapore",Marina Bay / Marina South,SG,1.2754,103.8606,residential_highrise_rc,rc_highrise,1800000,21,2.6,0.35,
SG-MS-004,"302 Marina View, Marina South, Singapore",Marina Bay / Marina South,SG,1.270886,103.866752,residential_highrise_rc,rc_highrise,1880000,26,1.9,0.17,
SG-MS-005,"253 Marina Way, Marina South, Singapore",Marina Bay / Marina South,SG,1.281901,103.855122,office_tower,rc_highrise,103500000,28,4.5,0.73,sg-marina-barrage
SG-MS-006,"138 Straits Boulevard, Marina South, Singapore",Marina Bay / Marina South,SG,1.268227,103.855882,residential_highrise_rc,rc_highrise,2850000,31,4.4,0.74,sg-marina-barrage
SG-MS-007,"5 Marina Way, Marina South, Singapore",Marina Bay / Marina South,SG,1.268489,103.865605,retail_podium,rc_highrise,30200000,3,3.6,0.5,sg-marina-barrage
SG-MS-008,"267 Marina View, Marina South, Singapore",Marina Bay / Marina South,SG,1.268272,103.854713,residential_highrise_rc,rc_highrise,2310000,9,4.5,0.9,sg-marina-barrage
SG-MS-009,"277 Marina Way, Marina South, Singapore",Marina Bay / Marina South,SG,1.273686,103.854319,office_tower,rc_highrise,117100000,5,3.1,0.42,sg-marina-barrage
SG-MS-010,"347 Marina View, Marina South, Singapore",Marina Bay / Marina South,SG,1.277278,103.869932,residential_highrise_rc,rc_highrise,2530000,30,4.4,0.82,
SG-EC-001,"12 Amber Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.3002,103.8961,residential_highrise_rc,rc_highrise,1000000,8,3.2,0.45,
SG-EC-002,"88 Marine Parade Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.3019,103.9058,residential_highrise_rc,rc_highrise,1000000,14,3.2,0.45,
SG-EC-003,"215 East Coast Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.3056,103.9091,residential_landed,lowrise_industrial,1500000,2,4.8,0.7,sg-long-island
SG-EC-004,"275 East Coast Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.308139,103.914767,residential_highrise_rc,rc_highrise,1470000,5,4.7,0.82,sg-long-island
SG-EC-005,"218 Meyer Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.300907,103.91328,residential_landed,lowrise_industrial,2300000,2,4.6,0.92,sg-long-island
SG-EC-006,"206 Tanjong Katong Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.298018,103.914595,residential_highrise_rc,rc_highrise,2110000,3,3.2,0.54,
SG-EC-007,"143 Meyer Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.291999,103.901278,residential_highrise_rc,rc_highrise,2040000,22,3.7,1.01,
SG-EC-008,"370 Amber Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.298835,103.90437,residential_landed,lowrise_industrial,1300000,3,2.9,0.57,sg-long-island
SG-EC-009,"93 Meyer Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.310921,103.897888,residential_highrise_rc,rc_highrise,2470000,4,5.9,1.13,
SG-EC-010,"280 Amber Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.306579,103.90513,residential_highrise_rc,rc_highrise,2240000,35,3.1,0.64,
SG-EC-011,"9 East Coast Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.301291,103.912035,shophouse_mixed,lowrise_industrial,19000000,1,5.1,0.87,
SG-EC-012,"346 Tanjong Katong Road, Katong, Singapore",East Coast / Katong / Marine Parade,SG,1.297745,103.904441,residential_highrise_rc,rc_highrise,1290000,13,2.3,0.63,sg-long-island
SG-SC-001,"87 Ocean Drive, Sentosa Cove, Singapore",Sentosa Cove,SG,1.242478,103.840885,residential_landed,lowrise_industrial,3320000,1,3.1,0.29,
SG-SC-002,"324 Treasure Island, Sentosa Cove, Singapore",Sentosa Cove,SG,1.243588,103.836279,residential_landed,lowrise_industrial,3070000,1,4.2,0.25,
SG-SC-003,"198 Cove Drive, Sentosa Cove, Singapore",Sentosa Cove,SG,1.249121,103.834004,residential_highrise_rc,rc_highrise,2870000,18,5.1,0.32,
SG-SC-004,"106 Coral Island, Sentosa Cove, Singapore",Sentosa Cove,SG,1.246337,103.834149,residential_landed,lowrise_industrial,2920000,3,5.2,0.4,
SG-SC-005,"312 Coral Island, Sentosa Cove, Singapore",Sentosa Cove,SG,1.244967,103.842871,residential_landed,lowrise_industrial,3340000,2,5.6,0.35,
SG-SC-006,"347 Cove Drive, Sentosa Cove, Singapore",Sentosa Cove,SG,1.239924,103.838185,residential_highrise_rc,rc_highrise,2880000,39,2.1,0.23,
SG-SC-007,"236 Paradise Island, Sentosa Cove, Singapore",Sentosa Cove,SG,1.248097,103.838341,office_tower,rc_highrise,15900000,32,4.7,0.43,
SG-SC-008,"144 Cove Drive, Sentosa Cove, Singapore",Sentosa Cove,SG,1.239772,103.833587,residential_highrise_rc,rc_highrise,3730000,24,5.7,0.43,
SG-JI-001,"13 Sakra Crescent, Jurong Island, Singapore",Jurong Island,SG,1.258766,103.704752,industrial_warehouse,lowrise_industrial,42100000,1,7.7,0.74,
SG-JI-002,"255 Banyan Avenue, Jurong Island, Singapore",Jurong Island,SG,1.27764,103.700411,industrial_warehouse,lowrise_industrial,71200000,2,4.7,0.34,
SG-JI-003,"44 Sakra Crescent, Jurong Island, Singapore",Jurong Island,SG,1.264553,103.690409,industrial_warehouse,lowrise_industrial,28200000,1,7.2,0.74,
SG-JI-004,"213 Jurong Island Highway, Jurong Island, Singapore",Jurong Island,SG,1.258746,103.696218,industrial_warehouse,lowrise_industrial,31000000,2,3.3,0.36,
SG-JI-005,"172 Jurong Island Highway, Jurong Island, Singapore",Jurong Island,SG,1.253383,103.708059,industrial_warehouse,lowrise_industrial,74800000,1,3.3,0.25,
SG-JI-006,"340 Banyan Avenue, Jurong Island, Singapore",Jurong Island,SG,1.275907,103.688176,industrial_warehouse,lowrise_industrial,57300000,1,5.5,0.43,
SG-KB-001,"176 Crawford Lane, Kallang Basin, Singapore",Kallang Basin,SG,1.296834,103.878848,residential_highrise_rc,rc_highrise,1140000,25,5.8,1.81,sg-marina-barrage
SG-KB-002,"278 Crawford Lane, Kallang Basin, Singapore",Kallang Basin,SG,1.31016,103.87838,residential_highrise_rc,rc_highrise,1670000,14,3.9,1.51,
SG-KB-003,"31 Stadium Boulevard, Kallang Basin, Singapore",Kallang Basin,SG,1.3041,103.8728,residential_highrise_rc,rc_highrise,1200000,11,3.4,1.1,sg-marina-barrage
SG-KB-004,"250 Kallang Road, Kallang Basin, Singapore",Kallang Basin,SG,1.308869,103.863274,residential_highrise_rc,rc_highrise,1340000,20,6.3,2.12,sg-marina-barrage
SG-KB-005,"100 Geylang Road, Kallang Basin, Singapore",Kallang Basin,SG,1.305149,103.863088,industrial_warehouse,lowrise_industrial,19200000,2,2.7,0.82,
SG-KB-006,"35 Kallang Road, Kallang Basin, Singapore",Kallang Basin,SG,1.312624,103.874387,residential_highrise_rc,rc_highrise,1690000,14,4.4,1.25,
SG-KB-007,"243 Kallang Road, Kallang Basin, Singapore",Kallang Basin,SG,1.299536,103.862997,residential_highrise_rc,rc_highrise,1980000,37,6.9,1.79,sg-marina-barrage
SG-KB-008,"235 Stadium Boulevard, Kallang Basin, Singapore",Kallang Basin,SG,1.30294,103.877588,shophouse_mixed,lowrise_industrial,13500000,2,6.4,1.83,
SG-WL-001,"19 Woodlands Drive 62, Woodlands, Singapore",Woodlands,SG,1.429899,103.793721,residential_highrise_rc,rc_highrise,700000,14,17.7,1.95,
SG-WL-002,"78 Marsiling Rise, Woodlands, Singapore",Woodlands,SG,1.425113,103.795258,residential_highrise_rc,rc_highrise,720000,17,14.3,1.79,
SG-WL-003,"37 Admiralty Road, Woodlands, Singapore",Woodlands,SG,1.432489,103.783729,residential_highrise_rc,rc_highrise,730000,40,15.3,1.61,
SG-WL-004,"39 Admiralty Road, Woodlands, Singapore",Woodlands,SG,1.440321,103.792431,residential_highrise_rc,rc_highrise,1100000,23,19.8,2.29,
SG-WL-005,"44 Marsiling Rise, Woodlands, Singapore",Woodlands,SG,1.442272,103.796121,industrial_warehouse,lowrise_industrial,19100000,1,22.8,2.5,
SG-WL-006,"266 Marsiling Rise, Woodlands, Singapore",Woodlands,SG,1.437303,103.792278,industrial_warehouse,lowrise_industrial,12500000,1,12.8,1.54,
SG-BT-001,"1 Bukit Timah Road, Bukit Timah, Singapore",Bukit Timah,SG,1.343997,103.780733,residential_landed,lowrise_industrial,3080000,2,67.7,8.32,
SG-BT-002,"29 Chancery Lane, Bukit Timah, Singapore",Bukit Timah,SG,1.341123,103.765595,residential_landed,lowrise_industrial,2010000,3,72.7,8.18,
SG-BT-003,"199 Bukit Timah Road, Bukit Timah, Singapore",Bukit Timah,SG,1.336292,103.77446,residential_landed,lowrise_industrial,3760000,1,83.2,8.26,
SG-BT-004,"51 Dunearn Road, Bukit Timah, Singapore",Bukit Timah,SG,1.345101,103.776216,residential_landed,lowrise_industrial,2520000,1,35.1,6.16,
SG-BT-005,"278 Chancery Lane, Bukit Timah, Singapore",Bukit Timah,SG,1.332084,103.766273,residential_landed,lowrise_industrial,3400000,3,69.6,7.94,
SG-BT-006,"159 Bukit Timah Road, Bukit Timah, Singapore",Bukit Timah,SG,1.341176,103.77355,residential_landed,lowrise_industrial,2180000,2,31.2,5.95,
SG-BT-007,"267 Namly Avenue, Bukit Timah, Singapore",Bukit Timah,SG,1.339356,103.775868,residential_landed,lowrise_industrial,3360000,3,29.8,5.91,
SG-BT-008,"216 Sixth Avenue, Bukit Timah, Singapore",Bukit Timah,SG,1.346929,103.777721,residential_highrise_rc,rc_highrise,3150000,11,68.6,8.45,
SG-BT-009,"12 Holland Road, Bukit Timah, Singapore",Bukit Timah,SG,1.342423,103.765005,residential_landed,lowrise_industrial,2540000,1,65.0,8.06,
SG-BT-010,"70 Namly Avenue, Bukit Timah, Singapore",Bukit Timah,SG,1.33509,103.767726,residential_highrise_rc,rc_highrise,2680000,37,47.1,7.67,
MY-SA-001,"34 Persiaran Sultan, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.061077,101.524845,residential_landed,lowrise_industrial,1020000,3,17.6,24.78,
MY-SA-002,"147 Jalan Batu Tiga, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.088117,101.52393,industrial_warehouse,lowrise_industrial,22500000,1,13.0,24.65,my-smart-tunnel
MY-SA-003,"19 Persiaran Sultan, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.060684,101.513829,residential_landed,lowrise_industrial,620000,1,12.5,20.93,my-smart-tunnel
MY-SA-004,"62 Jalan Batu Tiga, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.069266,101.528078,residential_highrise_rc,rc_highrise,870000,5,10.6,21.42,
MY-SA-005,"104 Persiaran Sultan, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.05259,101.51666,residential_highrise_rc,rc_highrise,1030000,16,27.9,32.87,my-smart-tunnel
MY-SA-006,"22 Jalan Klang Lama, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.066715,101.489284,industrial_warehouse,lowrise_industrial,20600000,1,17.8,26.22,
MY-SA-007,"32 Persiaran Kayangan, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.048725,101.526192,industrial_warehouse,lowrise_industrial,10600000,2,13.2,24.92,my-smart-tunnel
MY-SA-008,"114 Jalan Klang Lama, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.049614,101.516634,industrial_warehouse,lowrise_industrial,15300000,1,7.6,18.39,
MY-SA-009,"67 Persiaran Sultan, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.101624,101.53455,industrial_warehouse,lowrise_industrial,11200000,1,9.5,21.43,
MY-SA-010,"60 Jalan Batu Tiga, Shah Alam, Selangor",Shah Alam / Kuala Langat,MY,3.098957,101.530566,residential_highrise_rc,rc_highrise,1030000,16,26.9,29.3,
MY-KL-001,"31 Jalan Raja Chulan, Kuala Lumpur",Kuala Lumpur city centre,MY,3.156621,101.725882,residential_highrise_rc,rc_highrise,2130000,26,36.8,37.58,
MY-KL-002,"216 Jalan Raja Chulan, Kuala Lumpur",Kuala Lumpur city centre,MY,3.145349,101.716348,retail_podium,rc_highrise,78000000,2,65.8,42.14,my-smart-tunnel
MY-KL-003,"41 Jalan Raja Chulan, Kuala Lumpur",Kuala Lumpur city centre,MY,3.156384,101.715763,residential_highrise_rc,rc_highrise,1970000,23,56.6,38.74,
MY-KL-004,"148 Jalan Bukit Bintang, Kuala Lumpur",Kuala Lumpur city centre,MY,3.162948,101.724362,office_tower,rc_highrise,33000000,3,44.4,36.35,
MY-KL-005,"42 Jalan Ampang, Kuala Lumpur",Kuala Lumpur city centre,MY,3.155145,101.703349,residential_highrise_rc,rc_highrise,1220000,23,43.8,39.11,my-smart-tunnel
MY-KL-006,"144 Jalan Bukit Bintang, Kuala Lumpur",Kuala Lumpur city centre,MY,3.14769,101.715047,office_tower,rc_highrise,79700000,8,43.2,35.22,
MY-KL-007,"87 Jalan Raja Chulan, Kuala Lumpur",Kuala Lumpur city centre,MY,3.161255,101.718069,office_tower,rc_highrise,83700000,14,59.3,38.35,
MY-KL-008,"279 Jalan Ampang, Kuala Lumpur",Kuala Lumpur city centre,MY,3.158772,101.7159,residential_landed,lowrise_industrial,2180000,1,68.8,41.35,
MY-GT-001,"335 Persiaran Gurney, George Town, Pulau Pinang",George Town coastal,MY,5.418915,100.338435,residential_landed,lowrise_industrial,1230000,3,9.0,1.25,
MY-GT-002,"99 Jalan Sultan Ahmad Shah, George Town, Pulau Pinang",George Town coastal,MY,5.42588,100.330773,residential_highrise_rc,rc_highrise,630000,15,3.7,0.57,
MY-GT-003,"94 Jalan Sultan Ahmad Shah, George Town, Pulau Pinang",George Town coastal,MY,5.404292,100.331899,residential_highrise_rc,rc_highrise,1000000,19,2.3,0.35,
MY-GT-004,"318 Jalan Sultan Ahmad Shah, George Town, Pulau Pinang",George Town coastal,MY,5.412182,100.329096,residential_highrise_rc,rc_highrise,870000,10,5.1,0.95,
MY-GT-005,"388 Jalan Macalister, George Town, Pulau Pinang",George Town coastal,MY,5.408461,100.330356,residential_landed,lowrise_industrial,670000,1,2.6,0.48,
MY-GT-006,"345 Lebuh Light, George Town, Pulau Pinang",George Town coastal,MY,5.418159,100.324865,shophouse_mixed,lowrise_industrial,21300000,2,2.0,0.59,
