id,collateral_id,hazard,scenario,value,coverage,scenario_invariant,unit,dataset_name,dataset_version,pathway,return_period_yrs,sampled_at
HS-00001,SG-MS-001,flood_riverine,today,0.35,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00002,SG-MS-001,flood_coastal,today,0.02,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00003,SG-MS-001,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00004,SG-MS-001,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00005,SG-MS-001,pm25,today,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00006,SG-MS-001,flood_riverine,y2030,0.4,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00007,SG-MS-001,flood_coastal,y2030,0.11,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00008,SG-MS-001,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00009,SG-MS-001,heat_days35,y2030,5.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00010,SG-MS-001,pm25,y2030,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00011,SG-MS-001,flood_riverine,y2050,0.44,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00012,SG-MS-001,flood_coastal,y2050,0.25,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00013,SG-MS-001,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00014,SG-MS-001,heat_days35,y2050,15.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00015,SG-MS-001,pm25,y2050,16.9,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00016,SG-MS-002,flood_riverine,today,1.12,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00017,SG-MS-002,flood_coastal,today,2.88,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00018,SG-MS-002,wind,today,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,present-climate,100,2026-09-07
HS-00019,SG-MS-002,heat_days35,today,0.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00020,SG-MS-002,pm25,today,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00021,SG-MS-002,flood_riverine,y2030,1.26,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00022,SG-MS-002,flood_coastal,y2030,3.35,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00023,SG-MS-002,wind,y2030,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00024,SG-MS-002,heat_days35,y2030,4.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00025,SG-MS-002,pm25,y2030,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
HS-00026,SG-MS-002,flood_riverine,y2050,1.4,scored,false,m,Aqueduct Floods v2 riverine (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00027,SG-MS-002,flood_coastal,y2050,3.83,scored,false,m,Aqueduct Floods v2 coastal-wtsub (synthetic stand-in),synthetic,rcp8p5,100,2026-09-07
HS-00028,SG-MS-002,wind,y2050,,absent,false,m/s,STORM v4 (synthetic stand-in),synthetic,climate-change,100,2026-09-07
HS-00029,SG-MS-002,heat_days35,y2050,16.0,scored,false,days/yr,NEX-GDDP-CMIP6 vs ERA5-Land (synthetic stand-in),synthetic,ssp585,,2026-09-07
HS-00030,SG-MS-002,pm25,y2050,16.7,measured_not_scored,true,ug/m3,GHAP PM2.5 annual mean (synthetic stand-in),synthetic,,,2026-09-07
