id,applicant_id,collateral_id,segment,requested_amount,originated_year,base_ltv_override,status,opened_at
LA-001,AP-001,SG-MS-001,personal,1372000,2025,,in_review,2025-10-06
LA-002,AP-002,SG-MS-002,personal,1167000,2025,,in_review,2025-04-03
LA-003,AP-003,SG-MS-003,personal,1235000,2025,,in_review,2025-06-24
LA-004,AP-004,SG-MS-004,personal,1125000,2025,,approved,2025-05-13
LA-005,AP-005,SG-MS-005,corporate,48000000,2025,,approved,2025-03-19
LA-006,AP-006,SG-MS-006,personal,1951000,2025,,approved,2025-06-13
LA-007,AP-007,SG-MS-007,corporate,12850000,2025,,conditionally_approved,2025-06-16
LA-008,AP-008,SG-MS-008,personal,1467000,2025,,approved,2025-10-28
LA-009,AP-009,SG-MS-009,corporate,51770000,2025,,approved,2025-06-05
LA-010,AP-010,SG-MS-010,personal,1573000,2025,,conditionally_approved,2025-07-12
LA-011,AP-011,SG-EC-001,personal,617000,2025,,in_review,2025-11-14
LA-012,AP-012,SG-EC-002,personal,578000,2025,,conditionally_approved,2025-06-12
LA-013,AP-013,SG-EC-003,personal,873000,2025,,approved,2025-11-12
LA-014,AP-014,SG-EC-004,personal,921000,2025,,in_review,2025-11-22
LA-015,AP-015,SG-EC-005,personal,1447000,2025,,in_review,2025-09-03
LA-016,AP-016,SG-EC-006,personal,1371000,2025,,approved,2025-12-26
LA-017,AP-017,SG-EC-007,personal,1206000,2025,,conditionally_approved,2025-03-24
LA-018,AP-018,SG-EC-008,personal,734000,2025,,approved,2025-08-22
LA-019,AP-019,SG-EC-009,personal,1824000,2025,,open,2025-03-25
LA-020,AP-020,SG-EC-010,personal,1393000,2025,,in_review,2025-11-05
LA-021,AP-021,SG-EC-011,corporate,10820000,2025,,open,2025-10-20
LA-022,AP-022,SG-EC-012,personal,740000,2025,,approved,2025-07-27
LA-023,AP-023,SG-SC-001,personal,1904000,2025,,approved,2025-12-02
LA-024,AP-024,SG-SC-002,personal,2065000,2025,,in_review,2025-01-09
LA-025,AP-025,SG-SC-003,personal,2014000,2025,,in_review,2025-07-24
LA-026,AP-026,SG-SC-004,personal,2172000,2025,,conditionally_approved,2025-05-04
LA-027,AP-027,SG-SC-005,personal,2201000,2025,,in_review,2025-08-12
LA-028,AP-028,SG-SC-006,personal,2133000,2025,,in_review,2025-08-15
LA-029,AP-029,SG-SC-007,corporate,7220000,2025,,in_review,2025-04-02
LA-030,AP-030,SG-SC-008,personal,2525000,2025,,in_review,2025-02-08
LA-031,AP-031,SG-JI-001,corporate,22750000,2025,,open,2025-01-16
LA-032,AP-032,SG-JI-002,corporate,32360000,2025,,approved,2025-01-05
LA-033,AP-033,SG-JI-003,corporate,16320000,2025,,approved,2025-12-02
LA-034,AP-034,SG-JI-004,corporate,14650000,2025,,in_review,2025-08-13
LA-035,AP-035,SG-JI-005,corporate,41310000,2025,,approved,2025-05-04
LA-036,AP-036,SG-JI-006,corporate,33250000,2025,,approved,2025-02-13
LA-037,AP-037,SG-KB-001,personal,725000,2025,,in_review,2025-11-04
LA-038,AP-038,SG-KB-002,personal,1252000,2025,,open,2025-02-20
LA-039,AP-039,SG-KB-003,personal,833000,2025,,in_review,2025-09-05
LA-040,AP-040,SG-KB-004,personal,831000,2025,,in_review,2025-01-21
LA-041,AP-041,SG-KB-005,corporate,11000000,2025,,approved,2025-01-18
LA-042,AP-042,SG-KB-006,personal,1140000,2025,,in_review,2025-08-16
LA-043,AP-043,SG-KB-007,personal,1224000,2025,,in_review,2025-09-12
LA-044,AP-044,SG-KB-008,corporate,6850000,2025,,in_review,2025-07-01
LA-045,AP-045,SG-WL-001,personal,419000,2025,,in_review,2025-06-06
LA-046,AP-046,SG-WL-002,personal,531000,2025,,approved,2025-02-12
LA-047,AP-047,SG-WL-003,personal,482000,2025,,approved,2025-10-03
LA-048,AP-048,SG-WL-004,personal,633000,2025,,approved,2025-04-26
LA-049,AP-049,SG-WL-005,corporate,8330000,2025,,approved,2025-06-24
LA-050,AP-050,SG-WL-006,corporate,6280000,2025,,in_review,2025-12-17
LA-051,AP-051,SG-BT-001,personal,1886000,2025,,approved,2025-08-01
LA-052,AP-052,SG-BT-002,personal,1321000,2025,,approved,2025-03-03
LA-053,AP-053,SG-BT-003,personal,2182000,2025,,approved,2025-11-27
LA-054,AP-054,SG-BT-004,personal,1843000,2025,,approved,2025-05-16
LA-055,AP-055,SG-BT-005,personal,2548000,2025,,approved,2025-08-02
LA-056,AP-056,SG-BT-006,personal,1505000,2025,,approved,2025-05-01
LA-057,AP-057,SG-BT-007,personal,2089000,2025,,in_review,2025-01-10
LA-058,AP-058,SG-BT-008,personal,1966000,2025,,open,2025-11-06
LA-059,AP-059,SG-BT-009,personal,1817000,2025,,in_review,2025-02-01
LA-060,AP-060,SG-BT-010,personal,1914000,2025,,approved,2025-04-17
LA-061,AP-061,MY-SA-001,personal,701000,2025,,conditionally_approved,2025-04-04
LA-062,AP-062,MY-SA-002,corporate,10670000,2025,,in_review,2025-03-04
LA-063,AP-063,MY-SA-003,personal,388000,2025,,approved,2025-10-01
LA-064,AP-064,MY-SA-004,personal,522000,2025,,in_review,2025-06-06
LA-065,AP-065,MY-SA-005,personal,680000,2025,,open,2025-05-05
LA-066,AP-066,MY-SA-006,corporate,10890000,2025,,approved,2025-11-18
LA-067,AP-067,MY-SA-007,corporate,6130000,2025,,in_review,2025-09-13
LA-068,AP-068,MY-SA-008,corporate,8150000,2025,,in_review,2025-01-15
LA-069,AP-069,MY-SA-009,corporate,4860000,2025,,in_review,2025-08-02
LA-070,AP-070,MY-SA-010,personal,686000,2025,,open,2025-11-17
