collateral_id,suhi_tertile,ndvi_tertile,dataset_name,dataset_version,sampled_at
SG-MS-001,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-003,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-008,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-009,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-MS-010,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-002,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-003,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-005,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-006,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-007,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-008,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-009,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-010,2,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-011,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-EC-012,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-001,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-002,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-003,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-004,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-005,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-006,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-007,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-SC-008,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-001,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-003,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-JI-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-001,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-002,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-003,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-004,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-005,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-006,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-007,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-KB-008,2,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-001,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-002,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-003,1,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-004,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-005,1,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-WL-006,1,0,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-001,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-002,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-003,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-004,0,2,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
SG-BT-005,0,1,Yale SUHI v4 + Sentinel-2 NDVI (synthetic stand-in),synthetic,2026-09-07
